Razão Social,Nome Fantasia,CNPJ,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cluster
0,28117 - ALLIED - TAMBORÉ,,0,,,,0,0,Cluster C
ALLIED,ALLIED SAMSUNG MORUMBI,,"AV ROQUE PETRONI JUNIOR, 1089 - LOJA USO COMERCIAL N 16 LL - CEP: 04707-900 - BROOKLIN - SAO PAULO (SP)",,,,SÃO PAULO,SP,Cluster A
RASTRECALL,AMÉRICAS SHOPPING,,"AV DAS AMÉRICAS, N15.500, RECREIO DOS BANDEIRANTES, RIO DE JANEIRO/RJ (KIOSK 2A – L1) CEP:22790-702",,,,RIO DE JANEIRO,RJ,Cluster C
INFO STORE COMPUTADORES DA AMAZÔNIA,AMZ SHOPPING,,"AV. DJALMA BATISTA, 482 - PARQUE DEZ DE NOVEMBRO,",,,,MANAUS,AM,Cluster B
MASTERCELL,ATLANTICO SHOPPING,,"AV. BRASIL, 1271 - CENTRO, BALNEÁRIO CAMBORIÚ - SC, 88330-900",,,,BALNEARIO CAMBORIU,SC,Cluster C
MASTERCELL,BALNEARIO CAMBORIU SHOPPING,,"AV. SANTA CATARINA, 01 SALA 01 L150 BAIRRO DOS ESTADOS CEP 88.339-005 BALNEÁRIO CAMBURIU",,,,BALNEARIO CAMBORIU,SC,Cluster B
PROSPERUS,BARRA SHOPPING,,"AV DAS AMÉRICAS 4666 LOJA 108/114 H, BARRA DA TIJUCA RIO DE JANEIRO- RJ CEP: 22640-902",,,,RIO DE JANEIRO,RJ,Cluster A
MULTISOM,BARRA SHOPPING SUL,,"AV. DIÁRIO DE NOTÍCIAS, 300, LUC 1042, PISO JOQUEI - CRISTAL, PORTO ALEGRE - RS, 90810-080",,,,PORTO ALEGRE,RS,Cluster B
ALLIED,BAURU SHOPPING,,"R HENRIQUE SAVI, 55 -QUADRA 15- ANDAR: 1; QUIOSQ: QUN17; QUADRA: 15;",,,,BAURU,SP,Cluster B
MARTINELLO,BH SHOPPING,,"ROD BR-356, 3049 LOJA: N BH - 71/72",,,,BELO HORIZONTE,MG,Cluster C
